500
1m6.404790836s 380.294523ms
1m6.252812574s 376.001184ms
1m6.320154766s 378.409719ms

40000
1m7.039239521s 397.3529ms
1m7.144721889s 397.3043ms
1m7.240136877s 388.499929ms
1m7.318400972s 388.445851ms
1m7.081620042s 388.438731ms
1m7.125933883s 387.881764ms
1m7.31809433s 390.168187ms
1m7.109668103s 387.035613ms
1m7.063769685s 391.010279ms
1m7.151032768s 387.737148ms
1m7.150429724s 388.630305ms

40500
1m7.895238606s 371.012ms
1m8.185206265s 389.036721ms
1m7.937571549s 370.753691ms
1m7.937329505s 369.246839ms
1m8.059852535s 373.410025ms
1m8.013402821s 368.997727ms
1m7.980552775s 368.352959ms
1m7.904567173s 376.230262ms
1m8.000002252s 372.358714ms
1m7.904156624s 368.667211ms
1m8.020828983s 373.026757ms

41000
1m8.935165755s 385.530272ms
1m8.860606016s 392.448536ms
1m8.865953529s 386.55158ms
1m8.781434787s 387.230805ms
1m8.737008002s 385.228469ms
1m8.716640043s 381.607166ms
1m8.769008474s 382.350716ms
1m8.807464976s 380.146832ms
1m8.757689057s 383.54524ms
1m8.786742625s 385.664888ms
1m8.698353352s 389.278495ms

41500
1m10.011213098s 382.134821ms
1m9.52296566s 377.945378ms
1m9.51631091s 375.733043ms
1m9.466760588s 385.306228ms
1m9.547993325s 381.258883ms
1m9.549451376s 382.999385ms
1m9.522938943s 378.645878ms
1m9.576835967s 377.557528ms
1m9.643231717s 381.743498ms
1m9.5474257s 378.170635ms
1m9.490040768s 378.364372ms

42000
1m10.308354635s 384.780688ms
1m10.315462006s 388.659052ms
1m10.408759922s 383.55451ms
1m10.411498786s 383.52995ms
1m10.427836664s 383.224956ms
1m10.380964572s 384.020652ms
1m10.420200944s 387.094651ms
1m10.501433574s 385.628326ms
1m11.090507376s 379.294639ms
1m10.398455297s 392.653194ms
1m10.333485169s 386.142045ms

42500
1m11.229874178s 382.34368ms
1m11.215462029s 377.220165ms
1m11.290100482s 373.675769ms
1m11.146855125s 376.042941ms
1m11.343160612s 375.818603ms
1m11.20267517s 372.157194ms
1m11.111940111s 380.917731ms
1m11.228994934s 373.233062ms
1m11.20485763s 371.732131ms
1m11.229750931s 375.573547ms
1m11.206368417s 372.093419ms

43000
1m12.173015916s 391.229305ms
1m12.03605847s 389.342546ms
1m11.944171053s 390.151228ms
1m12.051159285s 388.788691ms
1m12.024906194s 386.591779ms
1m12.299884253s 394.990572ms
1m12.328164534s 394.075924ms
1m12.060726349s 387.32584ms
1m12.017589395s 385.715595ms
1m12.062149081s 391.555088ms
1m12.121972001s 387.94477ms

43500
1m12.853689267s 383.423912ms
1m12.897385552s 381.692324ms
1m13.01353669s 388.687465ms
